name,        distance,    phaseindeg, direction, radius,    mass, parentname
Sun        ,        0   , 0       ,1,  1390e6  ,  1.989e30   , --
Mercury    ,    57910e6 , 354     ,1,  2439e3  ,   3.30e23   ,  Sun
Venus      ,   108200e6 , 249     ,1,  6052e3  ,   4.87e24   ,  Sun
Earth      ,   149600e6 , 84      ,1,  6378e3  ,   5.98e24   ,  Sun
Mars       ,   227940e6 , 139     ,1,  3397e3  ,   6.42e23   ,  Sun
Jupiter    ,   778330e6 , 323     ,1, 71492e3  ,   1.90e27   ,  Sun
Saturn     ,  1426940e6 , 183     ,1, 60268e3  ,   5.69e26   ,  Sun
Uranus     ,  2870990e6 , 352     ,1, 25559e3  ,   8.69e25   ,  Sun
Neptune    ,  4497070e6 , 324     ,1, 24764e3  ,   1.02e26   ,  Sun
Pluto      ,  5913520e6 , 272     ,1,  1160e3  ,   1.31e22   ,  Sun
Moon       ,      384e6 , 0       ,1,  1738e3  ,   7.35e22   ,  Earth
Phobos     ,        9e6 , 0       ,1,    11e3  ,   1.08e16   ,  Mars
Deimos     ,       23e6 , 0       ,1,     6e3  ,   1.80e15   ,  Mars
Io         ,      422e6 , 0       ,1,  1815e3  ,   8.94e22   ,  Jupiter
Europa     ,      671e6 , 0       ,1,  1569e3  ,   4.80e22   ,  Jupiter
Ganymede   ,     1070e6 , 0       ,1,  2631e3  ,   1.48e23   ,  Jupiter
Callisto   ,     1883e6 , 0       ,1,  2400e3  ,   1.08e23   ,  Jupiter
Himalia    ,    11480e6 , 0       ,1,    93e3  ,   9.56e18   ,  Jupiter
Elara      ,    11737e6 , 0       ,1,    38e3  ,   7.77e17   ,  Jupiter
Pasiphae   ,    23500e6 , 0       ,1,    25e3  ,   1.91e17   ,  Jupiter
Prometheus ,      139e6 , 0       ,1,    46e3  ,   2.70e17   ,  Saturn    
Pandora    ,      142e6 , 0       ,1,    46e3  ,   2.20e17   ,  Saturn    
Epimetheus ,      151e6 , 0       ,1,    57e3  ,   5.60e17   ,  Saturn    
Janus      ,      151e6 , 0       ,1,    89e3  ,   2.01e18   ,  Saturn    
Mimas      ,      186e6 , 0       ,1,   196e3  ,   3.80e19   ,  Saturn    
Enceladus  ,      238e6 , 0       ,1,   260e3  ,   8.40e19   ,  Saturn    
Tethys     ,      295e6 , 0       ,1,   530e3  ,   7.55e20   ,  Saturn    
Dione      ,      377e6 , 0       ,1,   560e3  ,   1.05e21   ,  Saturn    
Rhea       ,      527e6 , 0       ,1,   765e3  ,   2.49e21   ,  Saturn    
Titan      ,     1222e6 , 0       ,1,  2575e3  ,   1.35e23   ,  Saturn    
Hyperion   ,     1481e6 , 0       ,1,   143e3  ,   1.77e19   ,  Saturn    
Iapetus    ,     3561e6 , 0       ,1,   730e3  ,   1.88e21   ,  Saturn    
Phoebe     ,    12952e6 , 0       ,1,   110e3  ,   4.00e18   ,  Saturn    
Miranda    ,      130e6 , 0       ,1,   236e3  ,   6.30e19   ,  Uranus
Ariel      ,      191e6 , 0       ,1,   579e3  ,   1.27e21   ,  Uranus
Umbriel    ,      266e6 , 0       ,1,   585e3  ,   1.27e21   ,  Uranus
Titania    ,      436e6 , 0       ,1,   789e3  ,   3.49e21   ,  Uranus
Oberon     ,      583e6 , 0       ,1,   761e3  ,   3.03e21   ,  Uranus
Triton     ,      355e6 , 0       ,1,  1350e3  ,   2.14e22   ,  Neptune
Charon     ,    19640e6 , 0       ,1,  1206e3  ,   1.52e21   ,  Pluto
